================================================================================
GMAIL UNSUBSCRIBE LIST
================================================================================
Instructions:
1. Review this list below
2. DELETE the lines of senders you want to KEEP (don't delete from Gmail)
3. KEEP the lines of senders you want to DELETE from Gmail
4. Save this file
5. Run: python gmail_unsubscribe_cleaner.py --delete
================================================================================

Total senders: 264
Total emails: 1910

--------------------------------------------------------------------------------
COUNT    COMPANY              NAME                      EMAIL
--------------------------------------------------------------------------------
205      Google               Google Alerts             googlealerts-noreply@google.com
103      Jobleads             JobLeads                  mailer@jobleads.com
69       Clickbank            ClickBank                 team@clickbank.com
62       Substack             𝐷𝑖𝑛𝑜 | 𝐓𝐡𝐞 𝐀𝐫𝐭 𝐨𝐟 𝐏𝐮𝐫𝐩𝐨   profitandpurpose247@substack.com
54       Skool                Tube AI Masterclass (Fr   noreply@skool.com
43       Hello                Mercari                   no-reply@hello.us.mercari.com
41       Wordfence            Wordfence                 list@wordfence.com
39       Nsave                nsave                     hello@nsave.com
36       Empireflippers       Empire Flippers           info@empireflippers.com
30       Thehothmarketing     The HOTH                  hello@thehothmarketing.com
26       Gmail                Numan Rasheed             bhatti3742@gmail.com
26       M                    Envato                    news@m.elements.envato.com
25       Google               Google Search Console T   sc-noreply@google.com
25       Tumblr               Tumblr                    no-reply@tumblr.com
22       Monetizemore         Kean, MonetizeMore        tools@monetizemore.com
22       Codester             Codester                  info@codester.com
22       E                    Udemy Instructor: Serge   no-reply@e.udemymail.com
22       Yoast                Yoast                     newsletter@yoast.com
21       Motioninvest         Motion Invest             contact@motioninvest.com
21       Nvidia               NVIDIA Developer Relati   news@nvidia.com
20       Info                 myABL                     myabl@info.abl.com
20       Advanced             Neil Patel                neil@advanced.npdigital.com
19       Snyk                 Snyk                      support-noreply@snyk.io
19       Fujifilm             Fujifilm Print Life       fcanprintlife@fujifilm.com
18       Semrush              Semrush Position Tracki   position-tracking@semrush.com
18       Itr                  Codecademy                learn@itr.mail.codecademy.com
17       Hi                   Wellfound                 newsletters@hi.wellfound.com
16       Google               News from Google          thekeyword-noreply@google.com
15       Freemius             Freemius Team             yo@freemius.com
14       Newsletter           Rockstar Propaganda       donotreply@newsletter.rockstargames.com
14       Reply                eBay                      ebay@reply.ebay.com
14       Mailersp1            Binance                   do_not_reply@mailersp1.binance.com
14       Mailersp2            Binance                   do_not_reply@mailersp2.binance.com
13       News-Mail            Elementor                 team@news-mail.elementor.com
13       Pabbly               Pabbly                    admin@pabbly.com
13       Marketing            Strikingly Team           no-reply@marketing.strikingly.com
13       Athemes              The Team at aThemes       team@athemes.com
12       N                    Dribbble Pro              no-reply@n.dribbble.com
12       E                    Bitly Team                hello@e.bitly.com
12       Ahrefs               Si Quan Ong from Ahrefs   si.quan@ahrefs.com
11       Ui                   Ubiquiti                  updates@ui.com
11       Linksmanagement      LinksManagement           support@linksmanagement.com
11       Rankmath             Bhanu Ahluwalia           bhanu.a@rankmath.com
11       Coschedule           Taylor @ CoSchedule       taylor@coschedule.com
11       Global               Meta Blueprint            update@global.metamail.com
10       Cloudhq              cloudHQ                   marketing.emails@cloudhq.net
10       Backlinko            Leigh at Backlinko        academy@backlinko.com
10       Xentraffic           Xentraffic inc.           remi@xentraffic.com
10       Mail                 ClickUp Team              team@mail.clickup.com
10       Codepen              CodePen                   support@codepen.io
10       Exness               Exness.com                no-reply@exness.com
10       Tubebuddy            TubeBuddy                 hello@tubebuddy.com
10       Softr                Mariam from Softr         mariam@softr.io
9        Via-Everflow         XenTraffic inc            no-reply@via-everflow.io
9        Zoom                 Zoom                      no-reply@zoom.us
9        Ahrefs               Ahrefs Site Explorer      se@ahrefs.com
9        Email                Upwork                    upwork@email.upwork.com
8        Odys                 Odys Global®              hi@odys.global
8        Pouncer              Sean Jackson | PouncerA   sean@pouncer.ai
8        Outreach             Emile from Envato         notifications@outreach.impact.com
7        Unsplash             Unsplash Team             marketing@unsplash.com
7        Creativemarket       Creative Market           hello@creativemarket.com
7        Google               Google Business Profile   businessprofile-noreply@google.com
7        Mixcloudmail         Mixcloud                  noreply@mixcloudmail.com
7        Coschedule           Amanda @ CoSchedule       amanda@coschedule.com
7        Thenounproject       Noun Project              info@thenounproject.com
7        Openrouter           OpenRouter Team           welcome@openrouter.ai
7        Mail                 Jenny @ Perplexity        team@mail.perplexity.ai
7        Seocopilotai         Josh Bachynski, CEO, SE   hello@seocopilotai.com
7        Notifications        Freelancer.com            noreply@notifications.freelancer.com
6        Smailer1             Binance                   do_not_reply@smailer1.binance.com
6        Hey                  Engine Labs               simon@hey.enginelabs.ai
6        Nealschaffer         Neal Schaffer             neal@nealschaffer.com
6        Info                 Laravel                   ship@info.laravel.com
6        Digital              Meta for Developers       update@digital.metamail.com
